Sr. No.,Company name,ISIN,BSE Symbol,BSE 6 month Avg Total Market Cap in (Rs. Crs.),NSE Symbol,NSE 6 month Avg Total Market Cap (Rs. Crs.),MSEI Symbol,MSEI 6 month Avg Total Market Cap in (Rs Crs.),Average of All Exchanges (Rs. Cr.),"Categorization as per SEBI Circular dated Oct 6, 2017"
1,Reliance Industries Ltd,INE002A01018,RELIANCE,1873294.7184957801,RELIANCE,1873278.8315999999,-,,1873286.7750478899,Large Cap
2,HDFC Bank Ltd.,INE040A01034,HDFCBANK,1286604.4144720901,HDFCBANK,1286302.0508999999,-,,1286453.2326860451,Large Cap
3,Bharti Airtel  Ltd.,INE397D01024,BHARTIARTL,1113793.5644059698,BHARTIARTL,1119187.6484000001,-,,1116490.6064029848,Large Cap
4,State Bank Of India,INE062A01020,SBIN,975713.20131054393,SBIN,975713.97050000005,-,,975713.58590527205,Large Cap
5,ICICI Bank Ltd.,INE090A01021,ICICIBANK,948884.55179492105,ICICIBANK,948002.50989999995,-,,948443.5308474605,Large Cap
6,Tata Consultancy Services Ltd.,INE467B01029,TCS,934776.62883280893,TCS,934786.88009999995,-,,934781.75446640444,Large Cap
7,Bajaj Finance Limited,INE296A01032,BAJFINANCE,580386.21073194605,BAJFINANCE,580280.71299999999,-,,580333.46186597296,Large Cap
8,Larsen & Toubro Limited,INE018A01030,LT,546367.52038670599,LT,546381.85320000001,-,,546374.68679335294,Large Cap
9,Infosys Ltd,INE009A01021,INFY,538050.46418697992,INFY,534465.19510000001,-,,536257.82964349003,Large Cap
10,Hindustan Unilever Ltd.,INE030A01027,HINDUNILVR,529065.10063614196,HINDUNILVR,529080.37300000002,-,,529072.73681807099,Large Cap
11,LIFE INSURANCE CORPORATION OF INDIA,INE0J1Y01017,LICI,519005.06551954005,LICI,519014.55300000001,-,,519009.80925977003,Large Cap
12,Maruti Suzuki India  Ltd.,INE585B01010,MARUTI,440752.49272120901,MARUTI,440745.24839999998,-,,440748.8705606045,Large Cap
13,Sun Pharmaceutical Industries Ltd.,INE044A01036,SUNPHARMA,421545.70380629197,SUNPHARMA,421567.55300000001,-,,421556.62840314599,Large Cap
14,Mahindra & Mahindra Ltd.,INE101A01026,M&M,406921.44196546701,M&M,406923.77360000001,-,,406922.60778273351,Large Cap
15,AXIS Bank Ltd.,INE238A01034,AXISBANK,405286.87226577499,AXISBANK,405048.61109999998,-,,405167.74168288748,Large Cap
16,Kotak Mahindra Bank Ltd.,INE237A01036,KOTAKBANK,394006.08193962899,KOTAKBANK,393995.64840000001,-,,394000.8651698145,Large Cap
17,ITC Ltd,INE154A01025,ITC,386430.447543293,ITC,386407.76150000002,-,,386419.10452164651,Large Cap
18,Titan Company Limited,INE280A01028,TITAN,373554.59634717996,TITAN,373577.97470000002,-,,373566.28552358999,Large Cap
19,HCL Technologies Ltd,INE860A01027,HCLTECH,371546.31860213703,HCLTECH,371546.20549999998,-,,371546.26205106848,Large Cap
20,NTPC Limited,INE733E01010,NTPC,360544.67241643299,NTPC,360546.69260000001,-,,360545.68250821647,Large Cap
21,Adani Ports and Special Economic Zone Ltd,INE742F01042,ADANIPORTS,360756.99828382302,ADANIPORTS,359961.68,-,,360359.33914191148,Large Cap
22,UltraTech Cement Ltd,INE481G01011,ULTRACEMCO,348401.63953305798,ULTRACEMCO,348437.7377,-,,348419.68861652899,Large Cap
23,Adani Power Limited,INE814H01029,ADANIPOWER,346676.93906705501,ADANIPOWER,346677.26049999997,-,,346677.09978352749,Large Cap
24,Oil And Natural Gas Corporation Ltd,INE213A01029,ONGC,338166.29191008396,ONGC,338169.1225,-,,338167.70720504201,Large Cap
25,Bharat Electronics Ltd.,INE263A01024,BEL,313326.35972625599,BEL,313318.74540000001,-,,313322.552563128,Large Cap
26,JSW Steel Limited,INE019A01038,JSWSTEEL,300876.32681289501,JSWSTEEL,300895.58480000001,-,,300885.95580644754,Large Cap
27,Bajaj Finserv Limited,INE918I01026,BAJAJFINSV,295721.77097538399,BAJAJFINSV,295641.57490000001,-,,295681.67293769203,Large Cap
28,Adani Enterprises Ltd.,INE423A01024,ADANIENT,289707.59149977297,ADANIENT,284446.53149999998,-,,287077.06149988645,Large Cap
29,Hindustan Aeronautics Limited,INE066F01020,HAL,283574.75573749997,HAL,283586.73800000001,-,,283580.74686874996,Large Cap
30,Coal India Limited,INE522F01014,COALINDIA,274209.31300813,COALINDIA,274243.97840000002,-,,274226.64570406498,Large Cap
31,Bajaj Auto Limited,INE917I01010,BAJAJ-AUTO,272697.18198632798,BAJAJ-AUTO,272624.23340000003,-,,272660.707693164,Large Cap
32,POWER GRID CORPORATION OF INDIA LIMITED,INE752E01010,POWERGRID,271267.22386234102,POWERGRID,271282.72489999997,-,,271274.97438117047,Large Cap
33,Avenue Supermarts Limited,INE192R01011,DMART,264823.85912115098,DMART,264571.46000000002,-,,264697.6595605755,Large Cap
34,Nestle India Ltd.,INE239A01024,NESTLEIND,256373.4061655,NESTLEIND,256402.49160000001,-,,256387.94888275,Large Cap
35,Hindustan Zinc Ltd.,INE267A01025,HINDZINC,252509.992978833,HINDZINC,252546.26029999999,-,,252528.1266394165,Large Cap
36,TATA STEEL LIMITED,INE081A01020,TATASTEEL,250567.141148867,TATASTEEL,250558.12220000001,-,,250562.63167443351,Large Cap
37,Eternal Limited,INE758T01015,ETERNAL,247370.25282015602,ETERNAL,247387.70389999999,-,,247378.97836007801,Large Cap
38,Asian Paints Ltd.,INE021A01026,ASIANPAINT,240473.76354637003,ASIANPAINT,240484.5545,-,,240479.15902318503,Large Cap
39,Hindalco Industries Ltd.,INE038A01020,HINDALCO,221149.37485955298,HINDALCO,221156.02290000001,-,,221152.69887977649,Large Cap
