# corpus 52 reports | WITH bare acronyms
# (company, leaf) pairs: 177
# distinct companies with >=1 hit: 50 of 52
# distinct companies with >=1 CRUDE-REACHABLE hit: 45 of 52

CRUDE	SCORE	LEAF	TICKER	PAGE	SENTENCE
-	7	fx:usd_cost_share	AARTIIND.NS	185	Exposures can arise on account of the various assets and liabilities which are denominated in currencies other than Indian Rupee Th e Company’s exposure to the risk of changes in foreign exchange rates relates primarily to the Company’s operating activities in exports and imports which is majorly in US dollars.
-	6	fx:usd_cost_share	BALKRISIND.NS	234	Consumption of Raw Materials is arrived at after adjusting the difference between the cost of indigenous/duty paid imported raw materials and international cost of raw materials entitled to be imported/imported under Duty Exemption Scheme of the Government of India against direct/indirect exports made/to be made by the Company during the year.
-	6	fx:usd_cost_share	COLPAL.NS	284	CURRENCY RISK The Company is subject to the risk of changes in foreign currency values that impact costs of imported raw material (directly and by local suppliers), import of ﬁnished goods, equipment for expansion at the plants, expatriate costs, service income, reimbursement of expenses, service related charges from overseas related and third parties as well as revenue from exports.
-	4	fx:usd_cost_share	COSMOFIRST.NS	111	The Company’s policy is to hedge material foreign exchange risk associated with borrowings, highly probable forecast sales and purchases transactions denominated in foreign currencies.
-	7	fx:usd_cost_share	EMAMILTD.NS	298	Foreign Currency Risk The Company operates both in domestic market and internationally and consequently the Company is exposed to foreign exchange risk through its sales in overseas countries, and purchases from overseas suppliers in foreign currencies.
-	7	fx:usd_cost_share	GANDHAR.NS	178	a) Currency risk The Company is exposed to currency risk mainly on account of its import payables, short term borrowings and export receivables in foreign currency.
-	7	fx:usd_cost_share	GOODYEAR.NS	100	The company has limited exposure to foreign exchange risk due to low reliance on imported raw materials and thus the company does not hedge for the foreign currency exposure and rely on natural hedging to the extent possible.
-	7	fx:usd_cost_share	PANAMAPET.NS	155	Financial risk management (Contd..) a) Currency Risk The Company is exposed to currency risk mainly on account of its import payables and export receivables in foreign currency.
-	4	fx:usd_cost_share	SIRCA.NS	124	(i) Market risk - Foreign currency exchange rate risk: The Company make significant amount of purchases in foreign currency which exposes the Company to the risk of fluctuation in foreign currency exchange rates which may have a potential impact on the statement of profit and loss and equity.
-	7	fx:usd_cost_share	SOTL.NS	179	(a) Curr ency Risk The Company is exposed to currency risk mainly on account of its import payables and export receivables in foreign currency.
-	7	fx:usd_cost_share	XPROINDIA.NS	127	Considering that major borrowings are in foreign currency and also purchases are made in foreign currency, the Company’s exposure to foreign currency at each reporting date is disclosed herein.
-	4	fx:usd_debt_share	ASIANPAINT.NS	213	The Company has taken Cross Currency Interest Rate Swap in order to hedge floating interest rate risk exposure related to its JPY denominated external commercial borrowing.
-	1	fx:usd_debt_share	COLPAL.NS	174	Foreign Exchange Management Act, 1999 and the rules and regulations made thereunder to the extent of Foreign Direct Investment, Overseas Direct Investment and External Commercial Borrowings (During the year under review not applicable to the Company); V.
-	7	fx:usd_debt_share	COSMOFIRST.NS	113	Also, the Company uses foreign currency options contracts, cross currency swap contracts and interest rate swap contracts to mitigate exchange rate exposure and interest rate exposure arising from foreign currency borrowings.
-	3	fx:usd_debt_share	DABUR.NS	228	(ii) Foreign Exchange Risk and hedging activities As regards foreign exchange risks, keeping in view the position of rupee in the market vis-a-vis foreign currency, the Company has been taking forward cover for foreign currency exports and imports from time to time and in case of any foreign currency borrowings, the loans are fully hedged at the time of inception itself as per the Forex policy framework of the company.
-	-7	fx:usd_debt_share	DEEPAKNTR.NS	452	₹ in Crores Currency USD Impact on profit or loss As at March 31, 2026 As at March 31, 2025 Impact of ₹ 1 strengthening against US Dollar 0.24 0.74 Impact of ₹ 1 weakening against US Dollar (1.75) (0.12) 42.4.2.Interest Rate Risk Management The Group draws working capital demand loans, avails cash credit, foreign currency borrowings etc.
-	1	fx:usd_debt_share	GANDHAR.NS	74	Agency: ACUITE RA TINGS & RESEARCH The Company has not involved in mobilization of the fund under any scheme and debt instruments except availing of banking related facilities including External Commercial Borrowing /Rupee T erm Loan.
-	0	fx:usd_debt_share	GODREJCP.NS	462	No T ype of risk/ hedge position Hedged item Description of hedging strategy Hedging instrument Description of hedging instrument T ype of hedging relationship 1 Currency Risk & Interest Rate Risk Foreign Currency loans Floating/Fixed Foreign currency instrument is converted into Fixed Rate local currency instrument Cross currency - Interest Rate Swap Cross currency - Interest Rate Swap is a derivative instrument whereby the Company hedges fixed/floating foreign currency instrument into fixed local currency instrument.
-	1	fx:usd_debt_share	HUHTAMAKI.NS	90	The Company has availed External Commercial Borrowings from Huhtamaki Finance Company V B.V., Netherlands (fellow subsidiary) through issuance of Rupee Denominated Bonds in two tranches.
-	1	fx:usd_debt_share	JINDALPOLY.NS	36	(No fresh FDI and ECB was taken by the Company during the Audit Period) (v) The following Regulations and Guidelines prescribed under the Securities and Exchange Board of India Act, 1992 (‘SEBI Act’): a.
-	4	fx:usd_debt_share	JKTYRE.NS	57	The Company rebalanced its borrowing mix through refinancing initiatives and selective use of lower-cost instruments, including foreign currency debt where appropriate.
-	4	fx:usd_debt_share	JUBLCPL.NS	71	To deal with matters related to transaction(s) of purchase or sale of spot and forward Foreign Exchange against exports, imports and foreign currency loans of the Company and other forex transactions including Derivatives etc.
-	1	fx:usd_debt_share	KANSAINER.NS	290	Borrowing costs are interest and other costs that the Company incurs in connection with the borrowing of funds including exchange differences arising from foreign currency borrowings to the extent that they are regarded as an adjustment to interest costs.
-	3	fx:usd_debt_share	SOTL.NS	53	We further report, that there were no events/actions in pursuance of: a) F oreign Exchange Management Act, 1999 and the rules and regulations made thereunder to the extent of Foreign Direct Investment, Overseas Direct Investment and External Commercial Borrowings; b) The Securities and Ex change Board of India (Issue of Capital and Disclosure Requirements) Regulations, 2018; FORM NO.
-	1	fx:usd_debt_share	SRF.NS	142	The Company also designates non derivative financial liabilities, such as foreign currency borrowings from banks, as hedging instruments for the hedge of foreign currency risk associated with highly probable forecasted transactions and, accordingly, applies cash flow hedge accounting for such relationships.
