family,ticker,name,isin,market_cap_inr,mcap_cr,index_tier,tradeability,subgroup,listings
paints,ASIANPAINT.NS,Asian Paints Ltd.,INE021A01026,2682684400000.0,268268,NIFTY50,NORMAL,Paints,"BSE:ACTIVE,NSE:ACTIVE"
paints,BERGEPAINT.NS,Berger Paints India Ltd,INE463A01038,622528900000.0,62253,NIFTYMIDCAP150,NORMAL,Paints,"BSE:ACTIVE,NSE:ACTIVE"
paints,KANSAINER.NS,Kansai Nerolac Paints,INE531A01024,163845600000.0,16385,OTHER,NORMAL,Paints,"BSE:ACTIVE,NSE:ACTIVE"
paints,JSWDULUX.NS,JSW Dulux Limited,INE133A01011,138943500000.0,13894,NIFTYSMALLCAP250,NORMAL,Paints,"BSE:ACTIVE,NSE:ACTIVE"
paints,INDIGOPNTS.NS,Indigo Paints Limited,INE09VQ01012,52229100000.0,5223,OTHER,NORMAL,Paints,"BSE:ACTIVE,NSE:ACTIVE"
paints,SIRCA.NS,Sirca Paints India Limited,INE792Z01011,24506100000.0,2451,OTHER,NORMAL,Paints,"BSE:ACTIVE,NSE:ACTIVE"
tyres,MRF.NS,M.R.F. Ltd.,INE883A01011,566483700000.0,56648,NIFTYMIDCAP150,NORMAL,Tyres & Rubber Products,"BSE:ACTIVE,NSE:ACTIVE"
tyres,BALKRISIND.NS,Balkrishna Industries Ltd.,INE787D01026,485129500000.0,48513,NIFTYMIDCAP150,NORMAL,Tyres & Rubber Products,"BSE:ACTIVE,NSE:ACTIVE"
tyres,APOLLOTYRE.NS,Apollo Tyres Ltd,INE438A01022,279857200000.0,27986,NIFTYMIDCAP150,NORMAL,Tyres & Rubber Products,"BSE:ACTIVE,NSE:ACTIVE"
tyres,CEATLTD.NS,Ceat Ltd.,INE482A01020,144234900000.0,14423,NIFTYSMALLCAP250,NORMAL,Tyres & Rubber Products,"BSE:ACTIVE,NSE:ACTIVE"
tyres,JKTYRE.NS,JK Tyre & Industries Ltd.,INE573A01042,117996900000.0,11800,NIFTYSMALLCAP250,NORMAL,Tyres & Rubber Products,"BSE:ACTIVE,NSE:ACTIVE"
tyres,TVSSRICHAK.NS,TVS Srichakra Ltd.,INE421C01016,30589100000.0,3059,OTHER,NORMAL,Tyres & Rubber Products,"BSE:ACTIVE,NSE:ACTIVE"
tyres,GOODYEAR.NS,Goodyear India Ltd.,INE533A01012,19929500000.0,1993,OTHER,NORMAL,Tyres & Rubber Products,"BSE:ACTIVE,NSE:ACTIVE"
adhesives,PIDILITIND.NS,Pidilite Industries Ltd.,INE318A01026,1673450900000.0,167345,NIFTYNEXT50,NORMAL,Specialty Chemicals,"BSE:ACTIVE,NSE:ACTIVE"
adhesives,ASTRAL.NS,ASTRAL LIMITED,INE006I01046,391141200000.0,39114,NIFTYMIDCAP150,NORMAL,Plastic Products - Industrial,"BSE:ACTIVE,NSE:ACTIVE"
adhesives,JUBLCPL.NS,Jubilant Agri and Consumer Products Limited,INE03CC01015,27413100000.0,2741,OTHER,NORMAL,Specialty Chemicals,"BSE:ACTIVE,NSE:ACTIVE"
adhesives,JYOTIRES.BO,Jyoti Resins & Adhesives Ltd,INE577D01013,11278800000.000002,1128,OTHER,NORMAL,Specialty Chemicals,BSE:ACTIVE
adhesives,HPAL.NS,HP Adhesives Limited,INE0GSL01024,3104400000.0,310,OTHER,NORMAL,Specialty Chemicals,"BSE:ACTIVE,NSE:ACTIVE"
adhesives,VINYLINDIA.NS,Vinyl Chemicals (India) Ltd.,INE250B01029,4565900000.0,457,OTHER,NORMAL,Trading - Chemicals,"BSE:ACTIVE,NSE:ACTIVE"
packaging_films,SRF.NS,SRF Ltd.,INE647A01010,787600800000.0,78760,NIFTYMIDCAP150,NORMAL,Commodity Chemicals,"BSE:ACTIVE,NSE:ACTIVE"
packaging_films,GRWRHITECH.NS,GARWARE HI-TECH FILMS LIMITED,INE291A01017,170344600000.0,17034,OTHER,NORMAL,Plastic Products - Industrial,"BSE:ACTIVE,NSE:ACTIVE"
packaging_films,POLYPLEX.NS,Polyplex Corporation Ltd.,INE633B01018,34594500000.0,3459,OTHER,NORMAL,Packaging,"BSE:ACTIVE,NSE:ACTIVE"
packaging_films,UFLEX.NS,Uflex Limited,INE516A01017,34527900000.0,3453,OTHER,NORMAL,Packaging,"BSE:ACTIVE,NSE:ACTIVE"
packaging_films,JINDALPOLY.NS,JINDAL POLY FILMS LIMITED,INE197D01010,27613900000.0,2761,OTHER,NORMAL,Packaging,"BSE:ACTIVE,NSE:ACTIVE"
