company_isin,exposure_tag,share_of_base,base_kind,source_url,source_page,verbatim_excerpt,computed_from
INE035D01020,input:base_oil,0.8608,COGS,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f5ce05d8-6169-4cc8-beee-4eb4f4d08175.pdf,231,"18 C OST OF MATERIALS CONSUMED ` in Lakhs Particulars 2025-2026 2024-2025 Base oils 307,960.79 272,685.09 Process chemicals / solvents / Waxes 25,375.64 22,648.90 Packing materials 18,213.01 16,396.52 Others 6,192.16 4,260.85 357,741.60 315,991.36","Consolidated note 18, FY2025-26 column, Rs in lakhs. The single cleanest disclosure in this run: the material type IS the line item. Packing materials (18,213.01) and Others (6,192.16) excluded. VOCABULARY GAP: 'input:base_oil' is NOT a leaf in config/exposure_tags.yaml and the DB triggers will reject it - the vocabulary must gain the leaf before this row can be imported."
INE035D01020,input:crude_derivative_petchem,0.0709,COGS,https://www.bseindia.com/xml-data/corpfiling/AttachHis/f5ce05d8-6169-4cc8-beee-4eb4f4d08175.pdf,231,"18 C OST OF MATERIALS CONSUMED ` in Lakhs Particulars 2025-2026 2024-2025 Base oils 307,960.79 272,685.09 Process chemicals / solvents / Waxes 25,375.64 22,648.90 Packing materials 18,213.01 16,396.52 Others 6,192.16 4,260.85 357,741.60 315,991.36","Consolidated note 18, FY2025-26 column. Solvents and waxes are named crude derivatives in the shock definition; 'process chemicals' is bundled with them by the filing and cannot be separated, so the row is slightly wider than a pure solvent exposure."
INE111A01025,input:freight_diesel,0.0150,TOTAL_COST,https://nsearchives.nseindia.com/annual_reports/AR_28074_CONCOR_2024_2025_A_9631203_01092025184652.pdf,280 + 237,"[p280] (i) Handling & Other Operating expenses include ₹113.77 crore (2023-24: ₹112.92 crore) & ₹23.21 crore (2023- 24: ₹23.96 crore) towards power & fuel and consumption of stores & spares respectively. || [p237] Employee benefits expense 31 488.85 462.82 Depreciation and amortisation expense 32 562.84 600.88 Finance cost 33 69.49 65.33 Other expenses 34 303.64 258.44 Total expenses (IV) 7,597.15","DIRECT fuel, standalone FY2024-25, Rs in crores. A deliberately SMALL number and the useful part of it: CONCOR's dominant cost is 'Terminal and other service charges' 6,172.33, most of which is rail haulage paid to Indian Railways at administered rates rather than a diesel-indexed price. Power & fuel is the only line the filing identifies as fuel. Read this row as evidence that CONCOR is NOT materially crude-exposed on the cost side, not as an incomplete measurement of a large exposure."
INE148O01028,input:bought_in_freight,0.3133,TOTAL_COST,https://nsearchives.nseindia.com/annual_reports/AR_27363_DELHIVERY_2024_2025_A_08082025200205.pdf,145 + 127,"[p145] Freight, handling and servicing costs Particulars March 31, 2025 March 31, 2024 Line haul expenses 28,875.11 26,836.40 Contractual manpower expenses 11,574.11 9,950.34 Vehicle rental expenses 17,567.71 16,029.60 || [p127] Employee benefits expense 24 13,759.04 14,367.70 Finance costs 27 1,257.87 885.20 Depreciation and amortisation expense 26 5,349.08 7,215.50 Other expenses 25 6,453.89 6,073.78 Total Expenses (II) 92,167.73 88,249.67","ASSET-LIGHT 3PL (bought-in freight, INDIRECT). Consolidated note 23, FY2024-25, Rs in millions. Numerator is 'Line haul expenses', the bought-in long-haul transport line. Diesel is inside a supplier's price here, not a purchase by the company, so pass-through is lagged and partial. 'Vehicle rental expenses' 17,567.71 excluded (rental of capacity, fuel treatment not stated); 'Power, fuel & water charges' 2,129.66 excluded because water is bundled into it. INTERMEDIATION NOTE (input:bought_in_freight): the numerator is a bought-in FREIGHT BILL, not a fuel bill - it contains driver wages, tolls, tyres, financing and the operator's margin as well as diesel. The crude elasticity of this share is therefore materially BELOW the raw ratio: a 10% crude move does not move this line by 10%. The share states how much of total cost is exposed to the freight market; how much of the freight market is crude is a pass-through question this row does not answer and must not be read as answering."
INE233B01017,input:intermediated_air_capacity,0.2745,TOTAL_COST,https://nsearchives.nseindia.com/annual_reports/AR_27055_BLUEDART_2024_2025_A_21072025192010.pdf,200 + 178,"[p200] FREIGHT, HANDLING AND SERVICING COSTS Aircraft charter costs 1,24,447 1,09,418 Domestic network operating costs 2,07,498 1,84,469 International servicing charges 18,929 20,077 Commercial airlift charges 25,488 25,603 || [p178] Handling and Servicing Costs 27 4,04,051 3,63,659 Employee Benefits Expenses 28 73,741 70,781 Finance Costs 29 2,879 1,927 Depreciation and Amortisation Expense 30 20,921 18,725 Other Expenses 31 44,668 40,596 Total Expenses 5,46,260 4,95,688","ASSET-LIGHT (bought-in air capacity, INDIRECT), standalone note 27, Rs in lakhs, FY2024-25. Numerator = the two air-capacity lines. LOWER BOUND and the weakest logistics row: the largest line, 'Domestic network operating costs' 2,07,498, is a black box that certainly contains diesel line-haul and equally certainly contains manpower, and the filing gives no split - it is excluded rather than apportioned. TAG CHOICE (input:intermediated_air_capacity, NOT input:atf): Blue Dart does not buy ATF. It buys air capacity from operators who do, so fuel reaches it through charter rates and fuel surcharges - lagged, contractual and diluted. The filing states the COST; that its price tracks ATF is mechanism, not disclosure. The separate tag is what records that difference instead of letting a charter bill be read as a fuel purchase."
INE366I01010,input:freight_diesel,0.2761,TOTAL_COST,https://nsearchives.nseindia.com/annual_reports/AR_29751_VRLLOG_2025_2026_U_7445116_12072026115210.pdf,210 + 171,"[p210] Freight, handling and servicing cost Year ended Year ended 31 March 2026 31 March 2025 Lorry hire 15,571 17,662 Diesel cost 80,821 87,055 Vehicle running, repairs and maintenance (net) 17,376 15,592 || [p171] Employee benefits expense 23 58,739 54,517 Finance costs 24 9,498 9,483 Depreciation and amortisation expense 25 26,103 25,363 Other expenses 26 6,102 4,345 Total expenses 292,690 293,522","FLEET-OWNING (direct diesel). Standalone note 22, Rs in lakhs. Numerator is the company's own 'Diesel cost' line - a fuel purchase, not bought-in freight. Denominator is total expenses from the standalone P&L (p171). Excluded from the numerator though also crude-linked: 'Tyres and flaps' 6,676 and 'Lorry hire' 15,571 (bought-in capacity, a different channel)."
INE482A01020,input:crude_derivative_rubber,0.2278,COGS,https://nsearchives.nseindia.com/annual_reports/AR_29958_CEATLTD_2025_2026_A_20312897_23072026115614.pdf,119,"Details of raw materials consumed (₹ in lakhs) Particulars 2025-26 2024-25 Rubber 4,91,060 3,94,454 Fabrics 75,633 61,717 Carbon black 1,43,495 1,32,291 Chemicals 66,050 53,404 Others 1,43,474 1,90,017 Total 9,19,712 8,31,883","Standalone note 29 'Details of raw materials consumed', FY2025-26 column, Rs in lakhs. Numerator = Carbon black 1,43,495 + Chemicals 66,050 (rubber chemicals). LOWER BOUND: the 'Rubber' line (4,91,060, 53% of the base) merges natural rubber, which is not crude-linked, with synthetic rubber, which is, and the filing does not split them; 'Others' (1,43,474) is unnamed. Both are therefore excluded rather than apportioned. Fabrics is carried as a separate petchem row."
INE482A01020,input:crude_derivative_petchem,0.0822,COGS,https://nsearchives.nseindia.com/annual_reports/AR_29958_CEATLTD_2025_2026_A_20312897_23072026115614.pdf,119,"Details of raw materials consumed (₹ in lakhs) Particulars 2025-26 2024-25 Rubber 4,91,060 3,94,454 Fabrics 75,633 61,717 Carbon black 1,43,495 1,32,291 Chemicals 66,050 53,404 Others 1,43,474 1,90,017 Total 9,19,712 8,31,883","Standalone note 29, FY2025-26 column, Rs in lakhs. Tyre 'Fabrics' is nylon/polyester tyre cord, a polymer rather than a rubber input, so it is tagged petchem and kept separate from the carbon-black + chemicals row rather than summed into one tag."
INE586V01016,input:bought_in_freight,0.7051,TOTAL_COST,https://nsearchives.nseindia.com/annual_reports/AR_29818_TCIEXP_2025_2026_A_16652002_15072026220127.pdf,286 + 255,"[p286] Network freight charges 797.95 781.65 GPS communication charges 0.90 0.85 Crane operating expenses 2.31 2.51 Payments to labour board 16.64 16.38 Air freight charges 45.23 39.91 Ship freight charges 2.58 2.42 Rail freight charges 14.29 12.51 || [p255] Operating expenses 28 886.96 862.13 Employee benefits expense 29 140.47 137.02 Finance costs 30 1.87 1.25 Depreciation and amortization expense 31 25.39 21.86 Other expenses 32 76.96 78.74 Total Expenses 1,131.65 1,101.00","ASSET-LIGHT 3PL (bought-in road freight, INDIRECT). Standalone note 28, Rs in crores. Numerator is 'Network freight charges' - the bought-in road leg. Air freight 45.23, ship freight 2.58 and rail freight 14.29 are separate modes with separate fuel pass-throughs and are excluded. INTERMEDIATION NOTE (input:bought_in_freight): the numerator is a bought-in FREIGHT BILL, not a fuel bill - it contains driver wages, tolls, tyres, financing and the operator's margin as well as diesel. The crude elasticity of this share is therefore materially BELOW the raw ratio: a 10% crude move does not move this line by 10%. The share states how much of total cost is exposed to the freight market; how much of the freight market is crude is a pass-through question this row does not answer and must not be read as answering."
INE688A01022,input:bought_in_freight,0.6129,TOTAL_COST,https://nsearchives.nseindia.com/annual_reports/AR_29848_TCI_2025_2026_U_9742506_17072026131440.pdf,188 + 157,"[p188] COST OF RENDERING OF SERVICES C in Mn Particulars For the Year Ended 31st March 2026 For the Year Ended 31st March 2025 Freight 23,738.74 22,586.97 Voyage Expenses 3,046.22 3,165.29 Vehicles' Trip Expenses 2,790.68 2,595.28 || [p157] Employee Benefits Expense 29 2,667.74 2,394.82 Finance Costs 30 177.61 149.73 Depreciation and Amortization Expense 31 1,112.79 1,060.08 Other Expenses 32 1,660.96 1,439.45 Total Expenses 38,729.68 36,206.99","HYBRID, reported on its bought-in leg (INDIRECT). Standalone note 28, Rs in millions. Numerator is the 'Freight' line only. TCI also discloses two further crude-linked lines this row deliberately EXCLUDES because they are a different channel: 'Vehicles' Trip Expenses' 2,790.68 (own-fleet diesel, DIRECT) and 'Voyage Expenses' 3,046.22 (ship bunker fuel). Adding all three would give 29,575.64 and mix three transmission speeds in one number. INTERMEDIATION NOTE (input:bought_in_freight): the numerator is a bought-in FREIGHT BILL, not a fuel bill - it contains driver wages, tolls, tyres, financing and the operator's margin as well as diesel. The crude elasticity of this share is therefore materially BELOW the raw ratio: a 10% crude move does not move this line by 10%. The share states how much of total cost is exposed to the freight market; how much of the freight market is crude is a pass-through question this row does not answer and must not be read as answering."
