company_isin,family,reason
INE016A01026,fmcg_distribution,"NO_BREAKUP_DISCLOSED: Note 35 (p369) splits 'Raw material' Sub-Total 2,471.48 from 'Packing material' Sub-Total 1,083.44, both as roll-forwards. Packing material is a large and partly crude-linked line, but the filing does not say how much of it is plastic or laminate versus paper, board and glass, so it cannot be used - see the ambiguity note in the report. Checked p330, p369, p371, p412, p457, p459."
INE021A01026,paints,"NO_BREAKUP_DISCLOSED: Note 24A (p209) splits cost of materials consumed into 'Raw Materials Consumed' and 'Packing Materials Consumed' only, each as an opening/purchases/closing roll-forward, with no split by material type. The SEBI LODR commodity table (p154) is filled 'Not Applicable' and the narrative states most significant raw materials 'are not commodities, per se'. Checked p154, p185, p209, p262."
INE030A01027,fmcg_distribution,"MEASUREMENT_BASIS_MISMATCH: REJECTED FROM SOURCED on owner ruling 2026-08-17. A share of 0.2201 was computable and is not defensible. Numerator: the SEBI LODR commodity table in the Corporate Governance Report (p123) carries a single row 'Brent / Benzene' at Rs 4,122 crores against a stated total commodity exposure of Rs 14,299 crores. Denominator: Ind AS note 27 (p160), total cost of materials consumed Rs 18,726 crores. THE TWO ARE DIFFERENT MEASURES. The LODR figure is an EXPOSURE on a purchase / hedged-position basis (the same row records 54% hedged through commodity derivatives); note 27 is CONSUMPTION, an inventory roll-forward. Nothing in the filing reconciles them, so the ratio has no defined meaning: its numerator and denominator do not measure the same thing over the same population. SECOND, INDEPENDENT DEFECT: the numerator row merges Brent and Benzene into one number. Both are crude-linked, but they are different price series with different spreads - benzene is a petrochemical whose margin over naphtha moves on its own - so even a well-based version of this row could not be attributed to a crude shock without splitting a figure the filing does not split. Neither defect is fixable from this document. Vegetable Oil (CPO) 1,078 and Tea 3,080 on the same table are excluded as not crude-linked."
INE03CC01015,specialty_chemicals,"AGGREGATED_SINGLE_LINE: Note (p136 standalone, p217 consolidated) reads 'Raw and process materials consumed 9,164.32' - one line, and it merges raw with process materials. Checked p100, p136, p138, p165, p178, p217."
INE09VQ01012,paints,"NOTE_NOT_IN_TEXT_LAYER: No 'cost of materials consumed' note could be located in this PDF's text layer at all (FY2025 report, 254 pages). The MD&A (p28) names 'crude-based derivatives like binders and solvents, along with titanium dioxide' but attaches no values. Nothing computable, and the absence is an extraction limitation as much as a disclosure one."
INE0BY001018,specialty_chemicals,"AGGREGATED_SINGLE_LINE: The note (p121 standalone, p166 consolidated) reads 'Raw materials consumed 21,545.69' as a single line. Checked p84, p105, p121, p123, p146, p166."
INE100A01010,specialty_chemicals,"NOTE_BODY_NOT_IN_TEXT_LAYER: The P&L (p183) shows 'Cost of materials consumed 23 3,007.16'. Note 23 at p215 renders as a heading with no table body in the PDF text layer, so no components could be read - and none may be assumed. Checked p183, p215, p255, p290."
INE102D01028,fmcg_distribution,"PARTIAL_ONLY_NON_CRUDE_QUANTIFIED: The LODR commodity table (p373) quantifies exactly one commodity: 'Soap Base Materials 1,412' crore, 1,45,968 MT, and the accompanying text attributes the exposure to 'imported palm oil derivatives' - agri-linked, not crude-linked. The materials note (p404, p494) carries no commodity split. Nothing crude is quantified."
INE133A01011,paints,"AGGREGATED_SINGLE_LINE: Note 20 (p73) is a single opening/purchases/closing roll-forward to 'Total cost of materials consumed'. No components at all. Checked p59, p73, p94, p108."
INE154A01025,fmcg_distribution,"AGGREGATED_SINGLE_LINE: The P&L (p159 standalone, p255 consolidated) carries 'Cost of materials consumed 25939.49' as one line and the note adds no commodity split. ITC's crude exposure would sit in packaging and freight, neither of which is separately disclosed against the materials base. Checked p159, p255."
INE172A01027,lubricants,NO_BREAKUP_DISCLOSED: Note 17.1 (p162) is headed 'Cost of raw and packing materials consumed' - raw and packing merged - and is an inventory roll-forward with no components. The commodity-price-risk note (p181) states 'we are a purchaser of base oil... Material purchases forms the largest portion of our operating expenses' but quantifies nothing. Castrol is the clearest case in the run of a company that says its exposure in words and never in a number.
INE197D01010,packaging_films,"AGGREGATED_SINGLE_LINE: Note 33 (p162) reads 'Cost of Materials Consumed* / Cost of materials consumed 46,085.08' with the footnote 'identified from derived method based on physical verification of inventories'. One line, and a derived one. Checked p121, p162, p205, p257."
INE216A01030,fmcg_distribution,"AGGREGATED_SINGLE_LINE: Note 28 (p107) is 'Inventory of materials at the beginning of the year / Add: Purchases, net / Less: Inventory of materials at the end of the year' to 8,608.64. No packaging or freight component against the materials base. Checked p90, p107, p125, p133, p152."
INE239A01024,fmcg_distribution,"NOTE_BODY_NOT_IN_TEXT_LAYER: Note 26 'COST OF MATERIALS CONSUMED' appears as a heading at p84 (standalone) and p142 (consolidated) with no table body in the PDF text layer, so no component values could be read. The P&L total is 98,140.4. Not sourced, and not assumed."
INE259A01022,fmcg_distribution,"NOTE_BODY_NOT_IN_TEXT_LAYER: The only text-layer hits for 'cost of material consumed' (p57, p232, p251) are cross-references - e.g. p251 'obsolete inventory, which is included as a part of cost of material consumed'. The note table itself did not extract, so no components could be read."
INE275B01026,packaging_films,"AGGREGATED_SINGLE_LINE: Note (p92) is 'Inventory of raw materials and components at the beginning of the year / Add: Purchases / Less: Inventory at the end' to 16,200.7. As flagged at roster time, Huhtamaki is one hop further out - a converter buying film rather than a polymer buyer - and its filing gives no film or resin line either. Checked p73, p92."
INE288B01029,specialty_chemicals,"AGGREGATED_SINGLE_LINE: Note 28 is referenced from the P&L (p342) as a single 'Cost of Materials Consumed 1,544.01'; the note itself carries no commodity split. Phenol, acetone and cumene are named in the business narrative with no cost values. Checked p342, p371, p392, p406, p437."
INE291A01017,packaging_films,"AGGREGATED_SINGLE_LINE: Note 21 (p126 standalone, p174 consolidated) is Opening Inventory / Purchases / Sales / Closing Inventory to a single TOTAL. No polyester chip, PTA or MEG line. Checked p101, p126, p147, p174."
INE305C01029,lubricants,"NO_BREAKUP_DISCLOSED: Note (p141 standalone, p197 consolidated) splits raw material consumed from packing material consumed, both as roll-forwards; base oil is not a line. The commodity-risk note (p156) names base oil and crude volatility without values. Checked p111, p141, p156, p167, p197."
INE318A01026,specialty_chemicals,"AGGREGATED_SINGLE_LINE: Note 32 (p209) is an inventory roll-forward to a single TOTAL of 5,123.67. Pidilite - the largest adhesives exposure in the roster - discloses no VAM, no monomer, no resin and no solvent line anywhere in the financial statements. Checked p176, p209, p237, p264, p302."
